,MAE,RMSE,R2
xgboost,251.04591369628906,424.0132110264962,0.9535607099533081
random_forest,271.78878137205095,475.30751150189997,0.9416452594364828
linear_regression,735.5693314602519,961.8235113647437,0.76104420610312
